"Name of GPU series";"Wonder";"Mach";"3D Rage";"Rage Pro";"Rage";"R100";"R200";"R300";"R400";"R500";"R600";"RV670";"R700";"Evergreen";"Northern Islands";"Southern Islands";"Sea Islands";"Volcanic Islands";"Arctic Islands/Polaris";"Vega";"Navi"
"Released";"1986";"1991";"1996";"1997";"1998";"Apr 2000";"Aug 2001";"Sep 2002";"May 2004";"Oct 2005";"May 2007";"Nov 2007";"Jun 2008";"Sep 2009";"Oct 2010";"Jan 2012";"Sep 2013";"Jun 2015";"Jun 2016";"Jun 2017";"Jul 2019"
"Marketing Name";"Wonder";"Mach";"3D Rage";"Rage Pro";"Rage";"Radeon 7000";"Radeon 8000";"Radeon 9000";"Radeon X700/X800";"Radeon X1000";"Radeon HD 1000/2000";"Radeon HD 3000";"Radeon HD 4000";"Radeon HD 5000";"Radeon HD 6000";"Radeon HD 7000";"Radeon Rx 200";"Radeon Rx 300";"Radeon RX 400/500";"Radeon RX Vega/Radeon VII(7nm)";"Radeon RX 5000"
"AMD support";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Kind";"2D";"2D";"3D";"3D";"3D";"3D";"3D";"3D";"3D";"3D";"3D";"3D";"3D";"3D";"3D";"3D";"3D";"3D";"3D";"3D";"3D"
"Instruction set";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"TeraScale instruction set";"TeraScale instruction set";"TeraScale instruction set";"TeraScale instruction set";"TeraScale instruction set"
"Microarchitecture";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"TeraScale 1";"TeraScale 1";"TeraScale 1";"TeraScale 2 (VLIW5)";"TeraScale 3 (VLIW4)";"GCN 1st gen";"GCN 2nd gen";"GCN 3rd gen";"GCN 4th gen";"GCN 5th gen";"RDNA"
"Type";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Fixed pipeline[a]";"Fixed pipeline[a]";"Fixed pipeline[a]";"Fixed pipeline[a]";"Fixed pipeline[a]";"Fixed pipeline[a]";"Programmable pixel & vertex pipelines";"Programmable pixel & vertex pipelines";"Programmable pixel & vertex pipelines";"Programmable pixel & vertex pipelines";"Unified shader model";"Unified shader model";"Unified shader model";"Unified shader model";"Unified shader model";"Unified shader model";"Unified shader model";"Unified shader model";"Unified shader model";"Unified shader model";"Unified shader model"
"Direct3D";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"N/A";"N/A";"5.0";"6.0";"6.0";"7.0";"8.1";"9.0 11 (9_2)";"9.0b 11 (9_2)";"9.0c 11 (9_3)";"10.0 11 (10_0)"
"Shader model";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"1.4";"2.0+";"2.0b";"3.0";"4.0"
"OpenGL";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"N/A";"N/A";"N/A";"1.1";"1.2";"1.3";"1.3";"2.0[b]";"2.0[b]";"2.0[b]";"3.3";"3.3";"3.3"
"Vulkan";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"OpenCL";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"Close to Metal";"Close to Metal"
"HSA";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"Video decoding ASIC";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"Avivo/UVD"
"Video encoding ASIC";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
"Fluid Motion ASIC[e]";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Power saving";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"PowerPlay";"PowerPlay";"PowerPlay";"PowerPlay"
"TrueAudio";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"Not publicly known";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A"
